"phage"	"cov_category"
"192"	"1.263.B."	"shifts_in_coverage"
"193"	"1.265.O."	"shifts_in_coverage"
"194"	"1.267.O."	"shifts_in_coverage"
"195"	"1.268.A."	"shifts_in_coverage"
"196"	"1.268.B."	"shifts_in_coverage"
"197"	"1.271.A."	"shifts_in_coverage"
"198"	"1.271.B."	"shifts_in_coverage"
"199"	"1.272.O."	"shifts_in_coverage"
"200"	"1.273.O."	"shifts_in_coverage"
"201"	"1.275.O."	"shifts_in_coverage"
"202"	"1.276.O."	"shifts_in_coverage"
"203"	"1.277.A."	"shifts_in_coverage"
"204"	"1.277.B."	"shifts_in_coverage"
"205"	"1.282.A."	"shifts_in_coverage"
"206"	"1.283.B."	"shifts_in_coverage"
"207"	"1.289.A."	"shifts_in_coverage"
"208"	"2.044.O."	"shifts_in_coverage"
